Hinglish,hindi
tumhare,तुम्हारे
thumharee,तुम्हारे
tumhaaraa,"
तुम्हारा"
tumhaara,"
तुम्हारा"
tumhaaree,तुम्हारे
tumahaare,तुम्हारे
tum,तुम
tuma,तुम
thum,तुम
ho,हो
hoo,हो
hamaare,हमारे
hamare,हमारे
humare,हमारे
hamaari,हमारे
humaare,हमारे
humari,हमारी
hamara,हमारा
hamarey,हमारे
humhare,हमारे
aao,आओ
awo,आओ
mila,मिला
milaa,मिला
milaao,मिलाओ
milay,मिले
len,लें
lein,लें
nigaahen,निगाहें
nigaahein,निगाहें
nigahein,निगाहें
nigaahe,निगाहें
nigahen,निगाहें
nigahaen,निगाहें
nigahe,निगाहें
hamen,हमें
hamein,हमें
humein,हमें
humen,हमें
humeein,हमें
humey,हमें
hmein,हमें
hamey,हमें
hamain,हमें
chaaho,चाहो
chaho,चाहो
tumhen,तुम्हें
tumhein,तुम्हें
tumhey,तुम्हें
chaahen,चाहें
chaahe,चाहें
chahe,चाहें
chahein,चाहें
chaahein,चाहें
chahen,चाहें
pyaar,प्यार
pyar,प्यार
paar,प्यार
paayar,प्यार
par,पर
payar,प्यार
pyaara,प्यारा
pyara,प्यारा
pyaasa,प्यासा
paaya,"
पाया"
dil,दिल
dila,दिल
dill,दिल
dhil,दिल
dilo,दिलो
pukaare,पुकारे
pukare,पुकारे
aankhon,आँखों
ankhon,आँखों
ankho,आँखों
aakhon,आँखों
aankho,आँखों
aankhoon,आँखों
annkhon,आँखों
aankkhon,आँखों
ankhoon,आँखों
aakho,आँखों
aakhoon,आँखों
aankon,आँखों
aankhonn,आँखों
men,में
mein,में
meein,में
maein,में
masti,मस्ती
mastii,मस्ती
husn,हुस्न
husna,हुस्न
husno,हुस्न
husne,हुस्न
pyaaraa,प्यारा
dekha,देखा
dekhaa,देखा
dekhna,देखा
dekhka,देखा
dehka,देखा
jab,जब
jaba,जब
se,से
see,से
jalava,जलवा
jalawa,जलवा
jalwa,जलवा
jalavaa,जलवा
jalawaa,जलवा
jalva,जलवा
jalvaa,जलवा
tumhara,तुम्हारा
rahen,रहें
rahein,रहें
rahey,रहें
rangeen,रंगीं
rangin,रंगीं
rangee,रंगीं
rangiin,रंगीं
nazaare,नज़ारे
nazare,नज़ारे
najaare,नज़ारे
nazarey,नज़ारे
nazaaren,नज़ारे
najare,नज़ारे
hi,ही
hee,ही
he,हे
huwe,हुए
hue,हुए
hui,हुई
muskuraaye,मुस्कुराये
muskuraye,मुस्कुराये
muskurayein,मुस्कुराये
humaaree,हमारी
hameare,हमारी
humaari,हमारी
hamari,हमारी
hamaarii,हमारी
hamaaree,हमारी
vafaaen,वफ़ाएं
wafaen,वफ़ाएं
wafayein,वफ़ाएं
vafaayen,वफ़ाएं
vafaen,वफ़ाएं
wafaayen,वफ़ाएं
wafayen,वफ़ाएं
rah,राह
raaha,राह:
raha,रहा
reh,रेह
reha,रेह
rahe,रहे
rahee,रही
rahi,"
रही"
aaen,आएं
lab,लब
lub,लब
labh,लब
labo,लब
per,पर
para,पर
duaaen,दुआएं
duaayen,दुआएं
duaen,दुआएं
duaein,दुआएं
dhuayen,दुआएं
duyaen,दुआएं
kabhi,कभी
n,न
chalen,चलें
chalein,चलें
chaley,चलें
manva,मनवा
manava,मनवा
manavaa,मनवा
manawaa,मनवा
manwa,मनवा
manvaa,मनवा
manawa,मनवा
more,मोरे
door,दूर
dur,दूर
duur,दूर
durr,दूर
daur,दूर
duurr,दूर
re,रे
ree,रे
saagar,सागर
sagar,सागर
chhor,छोर
chor,छोर
haa,हाँ
han,हाँ
hara,हरा
haai,हाई
hahn,हाँ
haaan,हाँ
haay,हाय
ambar,अम्बर
amber,अम्बर
ambara,अम्बर
or,ओर
ore,ओर
kshitij,क्षितिज
bane,बने
baney,बने
banne,बने
jahaan,जहाँ
jahan,जहाँ
jahaa,जहाँ
jaahaan,जहाँ
jahaann,जहाँ
jahhan,जहाँ
jehan,जहाँ
zehan,जहाँ
baadal,बादल
badal,बदल
jhuke,झुके
ghor,घोर
angana,अँगना
angna,अँगना
anganaa,अँगना
deep,दीप
dip,दीप
diip,दीप
bani,बनी
banii,बनी
taaron,तारों
taron,तारों
taaro,तारों
ki,की
kii,की
koi,कोई
key,की
khi,की
kay,की
paanti,पाँती
huyi,हुई
huwi,हुई
huvi,हुई
kalpana,कल्पना
laga,लगा
lagaa,लगा
lagtaa,लगता
lagta,लगता
ude,उड़े
nithur,निठुर
bada,बड़ा
badaa,बड़ा
badha,बड़ा
hay,हाय
haaye,हाय
haaya,हाय
huay,हाय
haiy,हाय
jagat,जगत
jagata,जगत
mere,मेरे
meree,मेरे
merey,मेरे
sapane,सपने
sapne,सपने
sapanen,सपने
kare,करे
karey,करे
karen,करे
choor,चूर
chuur,चूर
chur,चूर
mora,मोरा
moraa,मोरा
jeevan,जीवन
jiivan,जीवन
jiwan,जीवन
jeewan,जीवन
jivan,जीवन
jeeven,जीवन
jivana,जीवन
jiiwan,जीवन
jeeivan,जीवन
jiivana,जीवन
mukt,मुक्त
bahe,बहे
baahe,बहे
ga,गा
gan,गा
gaa,गा
gam,गम
jaayo,जाओ
jaavo,जाओ
aasaavari,आसावरी
bhramar,भ्रमर
gunja,गुंज
naachen,नाचें
naachein,नाचें
naache,नाचें
nachein,नाचें
mor,मोर
moor,मोर
o,ओ
sundar,सुन्दर
sunder,सुन्दर
khile,खिले
khilen,खिले
khiley,खिले
aasha,आशा
asha,आशा
ashaa,आशा
aisa,ऐसा
nitya,नित्य
naye,नये
mori,मोरी
moree,मोरी
morii,मोरी
bagiya,बगिया
bagiyaa,बगिया
bagiyaan,बगिया
bhagiya,बगिया
sada,सदा
sadaa,सदा
sadha,सदा
sadai,सदा
basant,बसन्त
bahaar,बहार
bahar,बहार
bahaara,बहार
bharee,भरी
bhari,भरी
baahar,बहार
bahaare,बहार
kaala,काला
kala,काला
kaalaa,काला
koyal,कोयल
koyala,कोयल
kaali,काली
kaalee,काली
kaalii,काली
kali,काली
kalee,काली
kaale,काली
us,उस
uss,उस
use,उसे
usse,उसे
raat,रात
raath,रात
raata,रात
rat,रात
rasta,रात
zulf,ज़ुल्फ़
teri,तेरी
terii,तेरी
theri,तेरी
saavan,सावन
saawan,सावन
sawan,सावन
savan,सावन
saavana,सावन
saavn,सावन
hamaraaz,हमराज़
hamraaz,हमराज़
humaraz,हमराज़
humraaz,हमराज़
humaraaj,हमराज़
bela,बेला
belaa,बेला
gora,गोरा
goraa,गोरा
juhi,जुही
gori,गोरी
gorii,गोरी
goree,गोरी
goriye,गोरी
gore,गोरी
chaandani,चाँदनी
chandni,चाँदनी
chaandni,चाँदनी
chaandanii,चाँदनी
chandini,चाँदनी
chandani,चाँदनी
chaandhni,चाँदनी
chaadani,चाँदनी
mukhada,मुखड़ा
mukhadaa,मुखड़ा
mukhda,मुखड़ा
mukhdaa,मुखड़ा
jis,जिस
jaisi,जिस
jism,जिस
jisa,जिस
pe,पे
mujko,मुझको
mujhako,मुझको
mujhko,मुझको
mujjhko,मुझको
mujhuko,मुझको
mujkho,मुझको
naaz,नाज़
naz,नाज़
naj,नाज़
nila,नीला
neela,नीला
niilaa,नीला
neelaa,नीला
niila,नीला
nilaa,नीला
nili,नीली
neeli,नीली
niilii,नीली
nil,नील
niil,नील
kamal,कमल
aankhein,आँखें
aankhen,आँखें
aankhey,आँखें
aakhein,आँखें
aakhen,आँखें
ankhen,आँखें
aankein,आँखें
jin,जिन
gahara,गहरा
gaharaa,गहरा
gahraa,गहरा
gahera,गहरा
gehra,गहरा
gehara,गहरा
gehraa,गहरा
raaz,राज़
raz,राज़
raj,राज़
raaze,राज़
sur,सुर
mitha,मीठा
lay,लय
mithi,मीठी
mitti,मीठी
miti,मीठी
raagini,रागिनी
rangini,रागिनी
raaginii,रागिनी
raagani,रागिनी
raginee,रागिनी
mithe,मीठे
honth,होंठ
hont,होंठ
hooth,होंठ
hot,होंठ
hoont,होंठ
hoot,होंठ
kahin,कहीं
kahee,कहीं
kaheen,कहीं
kahiin,कहीं
kahii,कहीं
kahie,कहीं
aanchal,आँचल
aachal,आँचल
anchal,आँचल
aanchala,आँचल
gulabi,गुलाबी
gulaabi,गुलाबी
gulabee,गुलाबी
gulaabii,गुलाबी
gulaabee,गुलाबी
chaal,चाल
chal,चल
chaala,चाल
aankh,आँख
ankh,आँख
aake,आँख
aakh,आँख
jaadu,जादू
jaaduu,जादू
jadoo,जादू
jaado,जादू
jadu,जादू
jaadoo,जादू
jadhoo,जादू
jismo,जिस्म
narm,नर्म
baahein,बाहें
baahen,बाहें
baanhein,बाहें
bahen,बाहें
bahein,बाहें
yahan,यहां
yahaan,यहां
yahaa,यहां
kadam,कदम
laakhon,लाखों
laakho,लाखों
lakho,लाखों
lakhon,लाखों
magar,मगर
dene,देने
dhene,देने
deeney,देने
ladki,लड़की
ladaki,लड़की
ladakii,लड़की
sabse,सबसे
sabase,सबसे
alag,अलग
kitne,कितनी
kitanii,कितनी
kitni,कितनी
kitani,कितनी
kitane,कितने
ghulti,घुलती
ghulati,घुलती
zaraa,ज़रा
zara,ज़रा
kiyaa,किया:
kiya,किया
kisey,किसे
kaya,क्या
ajeeb,अजीब
ajiib,अजीब
ajib,अजीब
si,सी
sii,सी
madhur,मधुर
git,गीत
geet,गीत
giit,गीत
milan,मिलन
milna,मिलन
man,मन
taar,तार
tar,तार
taare,तार
thaar,तार
dede,देदे
sandesa,सन्देसा
sandesaa,सन्देसा
sapan,सपन
sapana,सपन
suhaana,सुहाना
suhana,सुहाना
suhaanaa,सुहाना
taraana,तराना
taraanaa,तराना
tarana,तराना
rahun,रहूं
rahuun,रहूं
na,ना
naa,ना
nan,ना
hosh,होश
behosh,बेहोश
bana,बना
banaa,बना
main,मैं
huun,हूँ
hoon,हूँ
hun,हूँ
hoy,हूँ
hoye,हूँ
hooo,हूँ
gaanv,गांव
gaanw,गांव
baabu,बाबू
babu,बाबू
baabuu,बाबू
baaboo,बाबू
rang,रंग
ranga,रंग
lahari,लहरी
lehri,लहरी
padhana,पढ़ना
sikha,सिखा
sikhaa,सिखा
de,दे
baith,बैठ
bait,बैठ
yehan,यहाँ
meri,मेरी
merii,मेरी
meray,मेरे 
raani,रानी
raanii,रानी
rani,रानी
raazi,रानी
tujhako,तुझको
tujhko,तुझको
tujkho,तुझको
tujko,तुझको
tuhjko,तुझको
tuzako,तुझको
aaj,आज
aj,आज
padhaa,पढ़ा
padha,पढ़ा
duun,दूँ
don,दूँ
doon,दूँ
doo,दूँ
dun,दूँ
likhaa,लिखा
likha,लिखा
leikha,लिखा
likkha,लिखा
tumko,तुमको
tumako,तुमको
tumakoe,तुमको
tummko,तुमको
lachak,लचक
seekha,सीखा
siikhaa,सीखा
seekhaa,सीखा
tujhe,तुझे
tuze,तुझे
tujhey,तुझे
tuje,तुझे
tujhme,तुझमे
tujeh,तुझे
tuhje,तुझे
tujhhe,तुझे
maa,माँ
ne,ने
nae,nae
ney,ने
kahaa,कहा
kaha,कहा
kahan,कहा
muhjse,मुझसे
mujhese,मुझसे
mujhsey,मुझसे
raste,रस्ते
raa,रा
ra,रा
la,ल
l,ल
laa,ला
laaa,ला
chhaae,छाए
chhaye,छाए
chaaye,छाए
chhae,छाए
chaye,छाए
too,तो
tho,तो
barase,बरसे
barse,बरसे
barsen,बरसे
paanii,पानी
paani,पानी
pani,पानी
phaani,पानी
kyuun,क्यूँ
kyun,क्यूँ
kyoun,क्यूँ
kon,कॉन
kaun,कौन
gayaa,गया
gaya,गया
gya,गया
gayaaa,गया
kahaan,कहाँ
khahan,कहाँ
badii,बड़ी
badi,बड़ी
badhi,बड़ी
duniyaa,दुनिया
duniya,दुनिया
duniyaan,दुनिया
duniyase,दुनिया
dhuniyaa,दुनिया
dhuniya,दुनिया
duniyan,दुनिया
dooniya,दुनिया
duniye,दुनिया
duniyaaa,दुनिया
dunya,दुनिया
kitanaa,कितना
kitna,कितना
kitana,कितना
kitnaa,कितना
akelaa,अकेला
akela,अकेला
bilkul,बिल्कुल
tuute,टूटे
toote,टूटे
tute,टूटे
tutte,टूटे
khilaunon,खिलौनों
khilauno,खिलौनों
khelaa,खेला
khela,खेला
kaisaa,कैसा
kaisa,कैसा
kairaat,ख़ैरात
din,दिन
lage,लगे
lagey,लगे
lagge,लगे
lagee,लगे
hasne,हँसने
hansane,हँसने
hasane,हँसने
hansne,हँसने
dekho,देखो
dekko,देखो
deko,देखो
dehko,देखो
dekhko,देखो
basanti,बसंती
basantee,बसंती
hone,होने
sone,सोने
jaisii,जैसी
rahii,रही
rehi,रही
rehke,रही
acche,अच्छे
har,हर
harr,हर
her,हर
subah,सुबह
subh,सुबह
suboh,सुबह
subha,सुबह
subaah,सुबह
subaha,सुबह
ab,अब
abb,अब
gulaal,गुलाल
chalne,चलने
chalane,चलने
lagi,लगी
lagii,लगी
mehki,महकी
mahaki,महकी
mahakii,महकी
mehaki,महकी
mahki,महकी
meheki,महकी
maheki,महकी
pawan,पवन
pavan,पवन
pavana,पवन
baawara,बावरा
baavaraa,बावरा
baavraa,बावरा
baavara,बावरा
baavra,बावरा
ud,उड़
uda,उड़
udd,उड़
udh,उड़
chala,चला
chalaa,चला
gagan,गगन
salona,सलोना
salonaa,सलोना
saawala,साँवला
saanvala,साँवला
saanwala,साँवला
machi,मची
machii,मची
nache,नाचे
gaaye,गाये
gaye,गाये
maharoom,महरूम
meharuum,महरूम
mehroom,महरूम
ko,को
ishaara,इशारा
ishaaraa,इशारा
ishara,इशारा
chalenge,चलेंगे
donon,दोनों
dono,दोनों
sang,संग
sung,संग
sangh,संग
sanng,संग
sanga,संग
saang,संग
koyi,कोई
koye,कोई
samajhe,समझे
samjhe,समझे
samje,समझे
jaane,जाने
jane,जाने
jaan,जाने
janey,जाने
jaaney,जाने
is,इस
iss,इस
ise,इस
ies,इस
fasaana,फ़साना
fasana,फ़साना
fasaanaa,फ़साना
fasaaana,फ़साना
ya,या
yaa,या
yah,या
yaah,या
unako,उनको
unko,उनको
maaloom,मालूम
maalum,मालूम
maaluum,मालूम
malum,मालूम
maloom,मालूम
ik,इक
ek,एक
ika,इक
bataaya,बताया
bataya,बताया
kahi,कही
baat,बात
bat,बात
baata,बात
baath,बात
baaat,बात
jagamag,जगमग
jagmag,जगमग
zagamag,जगमग
yahi,यही
yahee,यही
yehi,यही
yahii,यही
soi,सोई
soyi,सोई
sooyi,सोई
ummeeden,उम्मीदें
ummiden,उम्मीदें
ummidein,उम्मीदें
ummiiden,उम्मीदें
jaageen,जागीं
jaagin,जागीं
daaman,दामन
daman,दामन
daamann,दामन
dhaman,दामन
choom,चूम
chuum,चूम
chum,चूम
guzare,गुज़रे
guzre,गुज़रे
guzren,गुज़रे
ishq,इश्क़
isq,इश्क़
nafrat,नफ़रत
nafarat,नफ़रत
naam,नाम
nam,नाम
naama,नाम
hamko,हमको
humko,हमको
hamako,हमको
humako,हमको
gumaan,गुमान
sangdil,संगदिल
sangadil,संगदिल
sanam,सनम
sanma,सनम
raah,राह
raahe,राहे
e,ए
vafaa,वफ़ा
vafa,वफ़ा
wafa,वफ़ा
waffa,वफ़ा
wafaa,वफ़ा
wafaan,वफ़ा
behak,बहक
bahak,बहक
bahek,बहक
behek,बहक
jaaenge,जाएंगे
jayenge,जाएंगे
jaayenge,जाएंगे
jaayeinge,जाएंगे
chhalkega,छलकेगा
chhalakegaa,छलकेगा
zahar,ज़हर
zehar,ज़हर
zeher,ज़हर
zaher,ज़हर
zehr,ज़हर
jaam,जाम
jam,जाम
bewafaa,बेवफ़ा
bevafa,बेवफ़ा
bewafa,बेवफ़ा
bevafaa,बेवफ़ा
bewaafa,बेवफ़ा
jaaey,जाए
jaae,जाए
jae,जाए
jaaye,जाए
jaye,जाए
jaay,जाए
tadap,तड़प
saamna,सामना
saamana,सामना
saamanaa,सामना
samana,सामना
shaam,शाम
sham,शाम
shama,शाम
nahin,नहीं
nahiin,नहीं
naheen,नहीं
nahee,नहीं
nahie,नहीं
nahii,नहीं
nahien,नहीं
rokar,रोकर
guzaar,गुज़ार
guzaaar,गुज़ार
goozaar,गुज़ार
dein,दें
den,दें
dey,दें
parchhaee,परछाईं
parachhaain,परछाईं
parchayee,परछाईं
parachhaayin,परछाईं
parchaayi,परछाईं
thokar,ठोकर
maar,मार
marr,मार
mar,मार
muhabbat,मुहब्बत
muhobbat,मुहब्बत
muhhabbat,मुहब्बत
qadam,क़दम
yun,यूँ
yuun,यूँ
yoo,यूँ
vo,वो
wo,वो
who,वो
sooraj,सूरज
suraj,सूरज
suuraj,सूरज
nikla,निकला
nikalaa,निकला
nikala,निकला
niklaa,निकला
kuchh,कुछ
kuch,कुछ
kucch,कुछ
kuchi,कुछ
pighla,पिघला
pighala,पिघला
pigla,पिघला
aandhi,आँधी
andhi,आँधी
aayi,आयी
aai,आयी
aah,आह
ah,आह
nikli,निकली
nikali,निकली
nikalii,निकली
nikalee,निकली
aakhir,आखिर
mushkil,मुशकिल
mushakil,मुशकिल
mushakila,मुशकिल
piya,पिया
piyaa,पिया
peeya,पिया
pedon,पेड़ों
pedo,पेड़ों
utrey,उतरे
utre,उतरे
uttrey,उतरे
utare,उतरे
phir,फिर
fir,फिर
fhir,फिर
dard,दर्द
darda,दर्द
hoga,होगा
hogaa,होगा
bandhan,बन्धन
rishton,रिश्तों
kaaton,काँटों
katoon,काँटों
kaanton,काँटों
kaanto,काँटों
kanton,काँटों
taarein,तारें
tarein,तारें
taaren,तारें
patthar,पत्थर
pathar,पत्थर
pathhar,पत्थर
paththar,पत्थर
pather,पत्थर
belein,बेलें
bele,बेलें
belen,बेलें
ugti,उगती
khilte,खिलते
khilate,खिलते
chalte,चलते
chalate,चलते
afsaane,अफ़साने
afsane,अफ़साने
afasaane,अफ़साने
afsaanon,अफ़साने
afsaanse,अफ़साने
kirdaar,किरदार
milte,मिलते
milate,मिलते
miltey,मिलते
milthe,मिलते
miilate,मिलते
rishtey,रिश्ते
rishte,रिश्ते
chulbule,चुलबुले
bulbule,बुलबुले
bujhte,बुझते
bujhate,बुझते
buzate,बुझते
jiya,जिया
jiyaa,जिया
jeeya,जिया
jia,जिया
do,दो
patte,पत्ते
patjhad,पतझड़
shakhon,शाखों
shaakhon,शाखों
mausam,मौसम
mosam,मौसम
mousam,मौसम
mausama,मौसम
mausum,मौसम
bechaare,बेचारे
bechare,बेचारे
ugne,उगने
ugane,उगने
chahat,चाहत
chaahat,चाहत
chaahata,चाहत
chaahati,चाहत
sahraon,सहरों
saharon,सहरों
bante,बनते
banate,बनते
rahte,रहते
rahate,रहते
rehte,रहते
rehtee,रहते
rahete,रहते
rehate,रहते
rehtey,रहते
rahetey,रहते
chalati,चलती
chalti,चलती
chalatii,चलती
chalathi,चलती
chalthi,चलती
jayen,जाये
jaayen,जाये
zindagi,ज़िंदगी
zindagii,ज़िंदगी
zindagee,ज़िंदगी
zindgai,ज़िंदगी
zindigi,ज़िंदगी
zindgi,ज़िंदगी
dagar,डगर
safar,सफ़र
manzil,मन्ज़िल
usey,उसे
usee,उसे
uuse,उसे
ussey,उसे
usike,उसीके 
raahii,राही
raahi,राही
raahee,राही
mud,मुड़
dekhe,देखे
dekke,देखे
deken,देखे
dekhen,देखे
dekhke,देखे
dekhee,देखे
bole,बोले
boley,बोले
bhed,भेद
apane,अपने
apne,अपने
appne,अपने
aapne,अपने
apanee,अपने
apney,अपने
khole,खोले
aya,आया
aaya,आया
aayaa,आया
ayaa,आया
aaja,आया
aaaa,आया
kis,किस
kiss,किस
kaise,कैसे
kisa,कैसे
esa,ऐसा
aesa,ऐसा
aese,ऐसा
saamaan,सामान
saman,सामान
kise,किसे
kaisee,कैसी
kaisi,कैसी
desh,देश
des,देश
nirasha,निराशा
niraasha,निराशा
niraashaa,निराशा
chehara,चेहरा
cheharaa,चेहरा
chehraa,चेहरा
chehra,चेहरा
chehera,चेहरा
kora,कोरा
safa,सफ़ा
khushiyaan,खुशियाँ
khushiya,खुशियाँ
khushiyan,खुशियाँ
jiske,जिसके
jisake,जिसके
jiski,जिसके
kyon,क्यों
kyo,क्यों
kyoon,क्यों
kyoo,क्यों
kahon,क्यों
khushi,खुशी
kushi,खुशी
deewana,दीवाना
divaanaa,दीवाना
divaana,दीवाना
deewaana,दीवाना
deevaana,दीवाना
diwana,दीवाना
diivaanaa,दीवाना
diwaanaa,दीवाना
diivaana,दीवाना
deevaanaa,दीवाना
dewaana,दीवाना
deewaanaa,दीवाना
diwaana,दीवाना
deewwaana,दीवाना
dewanna,दीवाना
divana,दीवाना
mubarak,मुबारक
mubaarak,मुबारक
mauke,मौके
pesh,पेश
duaon,दुआओं
duaaon,दुआओं
duwaaon,दुआओं
duaawon,दुआओं
nazraana,नज़राना
nazaraanaa,नज़राना
nazaraana,नज़राना
nazarana,नज़राना
nazrana,नज़राना
nazraanaa,नज़राना
najarana,नज़राना
der,देर
dher,देर
samjha,समझा
samajhaa,समझा
samajha,समझा
samjhaa,समझा
samja,समझा
samaja,समझा
zamana,ज़माना
zamaanaa,ज़माना
zamaana,ज़माना
jamana,ज़माना
jamaana,ज़माना
zamaane,ज़माना
shukar,शूकर
shukr,शुक्र
shukra,शुक्र
shukrr,शुक्र
karo,करो
samajh,समझ
samaj,समझ
samjh,समझ
khwaab,ख़्वाब
kvaab,ख़्वाब
khawaab,ख़्वाब
khvaab,ख़्वाब
khawab,ख़्वाब
khwab,ख़्वाब
kwaab,ख़्वाब
ban,बन
bin,बन
bun,बन
saj,सज
saja,सज
kaho,कहो
khud,कहो
kahoo,कहो
sari,सारी
saari,सारी
saarii,सारी
saaree,सारी
saree,सारी
saare,सारे
saara,सारा 
mehfil,महफ़िल
mahafil,महफ़िल
mahfil,महफ़िल
mehefil,महफ़िल
mehafil,महफ़िल
keh,कह
afsaana,अफ़साना
afasaanaa,अफ़साना
afasaana,अफ़साना
afsaanaa,अफ़साना
afasana,अफ़साना
afsana,अफ़साना
liye,लिये
kaliyaan,कलियाँ
kaliyaa,कलियाँ
kaliya,कलियाँ
kaliyan,कलियाँ
bula,भुला
bhulaa,भुला
bhula,भुला
rahane,रहने
rahene,रहने
rahne,रहने
haqikat,हक़ीकत
hakikat,हक़ीकत
haqeekat,हक़ीकत
pal,पल
pala,पल
khel,खेल
rachaaye,रचाये
chhod,छोड़
chod,छोड़
chhodh,छोड़
chhoda,छोड़
aaye,आये
aye,आये
aae,आये
aayee,आये
ayee,आये
aaee,आयी
mahakaa,महका
mehka,महका
maheka,महका
mehaka,महका
mahaka,महका
mehkaa,महका
mahkaa,महका
meheka,महका
mehakaa,महका
mahekaa,महका
aabaad,आबाद
abaad,आबाद
aabad,आबाद
viraanaa,वीराना
viraana,वीराना
veeraana,वीराना
veeraanaa,वीराना
veerana,वीराना
wiraanaa,वीराना
virana,वीराना
viiraanaa,वीराना
hans,हँस
hns,हँस
hamarii,हमारी
hamri,हमारी
humri,हमारी
bhuul,भूल
bhul,भूल
denaa,देना
dienaa,देना
dena,देना
deeena,देना
tumare,तुम्हरे
bulaa,बुला
lenaa,लेना
lena,लेना
lenga,लेना
apanon,अपनों
apnon,अपनों
apno,अपनों
apano,अपनों
kam,कम
begaanon,बेगानों
mol,मोल
karegi,करेगी
karegii,करेगी
karegee,करेगी
mufalis,मुफ़लिस
aramaanon,अरमानों
armaano,अरमानों
aramanon,अरमानों
armaanon,अरमानों
aarmaanon,अरमानों
armano,अरमानों
armanon,अरमानों
itani,इतनी
itni,इतनी
ithni,इतनी
itanii,इतनी
bus,बस
baas,बस
basa,बस
apani,अपनी
apni,अपनी
apanii,अपनी
apnii,अपनी
appni,अपनी
aapni,अपनी
tamannaa,तमन्ना
tamanna,तमन्ना
paravaanaa,परवाना
parwaana,परवाना
paravaana,परवाना
parvaana,परवाना
parvaanaa,परवाना
parawaana,परवाना
parwana,परवाना
parawaanaa,परवाना
paravana,परवाना
parvana,परवाना
satrangi,सतरंगी
satarangii,सतरंगी
satrangii,सतरंगी
satarangi,सतरंगी
saaya,साया
saayaa,साया
saya,साया
saiya,साया
humsaaya,हमसाया
hamsaaya,हमसाया
hamasaaya,हमसाया
hamasaya,हमसाया
noor,नूर
nuur,नूर
nur,नूर
parchhai,परछाई
parchhaai,परछाई
parchhaaii,परछाई
parachhaai,परछाई
parchhaayi,परछाई
parchai,परछाई
parchhayi,परछाई
parchayi,परछाई
baar,बार
bar,बार
barr,बार
bata,बता
bataa,बता
btaa,बता
zor,ज़ोर
ghalib,ग़ालिब
gaalib,ग़ालिब
lagaye,लगाये
lagaaye,लगाये
bujhaye,बुझाये
bujhaaye,बुझाये
buzaaye,बुझाये
chhua,छुआ
chua,छुआ
chhuaa,छुआ
chuaa,छुआ
halka,हल्का
halkaa,हल्का
halakaa,हल्का
uns,उन्स
hua,हुआ
huaa,हुआ
huwa,हुआ
huva,हुआ
huya,हुआ
mehsoos,महसूस
mehsus,महसूस
mahasuus,महसूस
mahasoos,महसूस
mahasus,महसूस
mahsoos,महसूस
